# Data taken  from Mumpower et al PPNP 86 (2016),,,,,,,,,,,,,,,,,,
51,96,147,2.27,4.33,0.34,0.25,0.01,0.01,1.67,0.16,1.01,2.32,0.44,0.26,4.33,1.67,2.32,4.33
51,97,148,0.03,0.04,0.02,0.02,0.07,0.01,0.49,0.05,0.88,0.03,0.34,0.28,0.04,0.49,0.88,0.88
51,98,149,3.71,0.34,0.33,0.3,0.01,0.01,1.65,0.2,2.58,0.55,1.18,0.42,3.71,1.65,2.58,3.71
51,99,150,0.27,0.01,0.03,0.02,0.01,0.01,0.39,0.03,1.55,0.01,1.16,0.42,0.27,0.39,1.55,1.55
51,100,151,6.66,0.01,0.66,0.36,0.01,0.01,1.52,0.24,0.59,0.01,1.63,0.59,6.66,1.52,1.63,6.66
51,101,152,0.15,0.01,0.04,0.01,0.01,0.01,0.2,0.01,0.08,0.01,1.3,0.63,0.15,0.2,1.3,1.3
51,102,153,0.88,0.01,1.33,0.49,0.01,0.01,0.78,0.32,0.25,0.01,1.93,1.12,1.33,0.78,1.93,1.93
51,103,154,0.01,0.01,0.11,0.03,0.01,0.01,0.18,0.02,0.02,0.01,1.39,1.03,0.11,0.18,1.39,1.39
51,104,155,0.01,0.01,14.56,0.6,0.01,0.01,0.01,0.25,0.02,0.01,1.55,1.33,14.56,0.25,1.55,14.56
51,106,157,0.001,0.001,0.001,1.5,0.001,0.001,0.001,0.24,0.03,0.01,0.42,0.3,1.5,0.24,0.42,1.5
52,81,133,0.01,0.02,0.01,0.01,0.05,0.9,0.14,0.04,0.001,0.001,0.001,0.001,0.02,0.9,0.001,0.9
52,82,134,0.01,0.01,0.01,0.01,0.03,0.06,0.13,0.01,0.001,0.001,0.001,0.001,0.01,0.13,0.001,0.13
52,83,135,0.01,0.01,0.01,0.01,0.09,0.38,0.48,0.02,0.001,0.001,0.001,0.001,0.01,0.48,0.001,0.48
52,84,136,0.14,0.07,0.06,0.02,1.3,0.22,0.37,0.01,0.001,0.001,0.001,0.001,0.14,1.3,0.001,1.3
52,85,137,0.37,0.01,0.07,0.01,1.84,0.7,0.39,0.01,0.001,0.001,0.001,0.001,0.37,1.84,0.001,1.84
52,86,138,0.44,0.06,0.2,0.01,0.46,0.93,0.51,0.01,0.001,0.001,0.001,0.001,0.44,0.93,0.001,0.93
52,87,139,0.22,0.01,0.06,0.01,0.38,0.6,0.29,0.01,0.001,0.001,0.001,0.001,0.22,0.6,0.001,0.6
52,88,140,0.99,0.64,0.89,0.12,1.1,0.14,1.17,0.06,0.001,0.001,0.001,0.001,0.99,1.17,0.001,1.17
52,89,141,0.03,0.01,0.02,0.01,0.81,0.12,0.21,0.02,2.18,4.13,3.44,1.46,0.03,0.81,4.13,4.13
52,90,142,0.92,1.12,0.6,0.12,0.12,0.04,0.44,0.05,1.34,3.98,2.22,1.05,1.12,0.44,3.98,3.98
52,91,143,0.01,0.01,0.06,0.01,0.29,0.54,0.1,0.02,1.39,3.79,2.03,1.03,0.06,0.54,3.79,3.79
52,92,144,0.46,1.68,0.58,0.18,0.09,0.03,0.22,0.05,0.47,2.21,0.4,0.23,1.68,0.22,2.21,2.21
52,93,145,0.01,0.01,0.07,0.04,0.3,0.25,0.02,0.01,0.45,0.74,0.27,0.16,0.07,0.3,0.74,0.74
52,94,146,0.55,1.84,0.67,0.42,0.06,0.01,0.19,0.07,0.57,1.94,0.17,0.12,1.84,0.19,1.94,1.94
52,95,147,0.01,0.01,0.08,0.08,0.35,0.18,0.06,0.01,0.4,0.22,0.09,0.08,0.08,0.35,0.4,0.4
52,96,148,1.72,4.36,0.83,0.63,0.03,0.01,0.4,0.08,0.55,4.17,0.25,0.2,4.36,0.4,4.17,4.36
52,97,149,0.01,0.03,0.08,0.07,0.43,0.19,0.21,0.03,0.81,0.06,0.19,0.13,0.08,0.43,0.81,0.81
52,98,150,1.7,4.9,1.15,0.75,0.02,0.01,0.91,0.1,2.11,1.16,0.39,0.26,4.9,0.91,2.11,4.9
52,100,152,8.37,3.93,1.49,0.69,0.01,0.01,2.66,0.14,2.44,0.61,0.87,0.29,8.37,2.66,2.44,8.37
52,101,153,0.01,0.01,0.14,0.03,0.26,0.01,0.48,0.01,0.49,0.01,0.26,0.17,0.14,0.48,0.49,0.49
52,102,154,5.67,0.01,1.75,0.68,0.01,0.01,1.78,0.31,1.35,0.01,2.94,0.93,5.67,1.78,2.94,5.67
52,103,155,0.01,0.01,0.27,0.08,0.01,0.01,0.52,0.03,0.04,0.01,1.83,0.61,0.27,0.52,1.83,1.83
52,104,156,0.45,0.01,4.14,1.47,0.01,0.01,0.42,0.26,0.46,0.01,3.26,2.4,4.14,0.42,3.26,4.14
52,106,158,0.01,0.01,7.31,2.43,0.01,0.01,0.01,0.28,0.02,0.01,0.88,1.44,7.31,0.28,1.44,7.31
53,83,136,0.01,0.01,0.01,0.01,0.63,0.11,0.15,0.01,0.001,0.001,0.001,0.001,0.01,0.63,0.001,0.63
53,84,137,0.12,0.01,0.01,0.01,0.47,0.01,0.09,0.01,0.001,0.001,0.001,0.001,0.12,0.47,0.001,0.47
53,85,138,0.11,0.01,0.01,0.01,1.47,0.05,0.42,0.01,0.001,0.001,0.001,0.001,0.11,1.47,0.001,1.47
53,86,139,0.17,0.02,0.06,0.01,0.22,0.05,0.21,0.01,0.001,0.001,0.001,0.001,0.17,0.22,0.001,0.22
53,87,140,0.36,0.13,0.26,0.03,0.55,0.21,0.57,0.04,0.001,0.001,0.001,0.001,0.36,0.57,0.001,0.57
53,88,141,0.15,0.19,0.3,0.02,0.32,0.11,0.53,0.04,1.47,2.4,1.24,0.61,0.3,0.53,2.4,2.4
53,89,142,0.06,0.01,0.06,0.01,0.76,0.14,0.72,0.06,0.001,0.001,0.001,0.001,0.06,0.76,0.001,0.76
53,90,143,0.09,0.19,0.18,0.03,0.55,0.07,0.7,0.1,0.93,1.88,1.38,0.63,0.19,0.7,1.88,1.88
53,91,144,0.04,0.03,0.08,0.02,0.41,0.48,0.51,0.06,0.37,1.04,0.25,0.09,0.08,0.51,1.04,1.04
53,92,145,0.32,1.14,0.1,0.04,0.06,0.02,0.65,0.15,0.11,1.14,0.21,0.11,1.14,0.65,1.14,1.14
53,93,146,0.04,0.04,0.1,0.05,0.18,0.08,0.53,0.1,0.1,0.33,0.18,0.11,0.1,0.53,0.33,0.53
53,94,147,0.74,1.53,0.1,0.06,0.04,0.01,0.67,0.24,0.16,1.04,0.19,0.19,1.53,0.67,1.04,1.53
53,95,148,0.01,0.03,0.05,0.03,0.63,0.12,0.56,0.15,0.18,0.95,0.19,0.17,0.05,0.63,0.95,0.95
53,96,149,1.66,1.76,0.12,0.09,0.04,0.01,1.26,0.55,0.55,2.37,0.43,0.35,1.76,1.26,2.37,2.37
53,97,150,0.02,0.05,0.03,0.03,0.2,0.03,0.55,0.16,0.47,0.86,0.43,0.37,0.05,0.55,0.86,0.86
53,98,151,1.94,2.69,0.15,0.12,0.02,0.01,1.12,0.41,0.82,4.04,0.59,0.48,2.69,1.12,4.04,4.04
53,99,152,0.04,0.28,0.03,0.03,0.36,0.01,0.54,0.14,0.47,0.32,0.18,0.08,0.28,0.54,0.47,0.54
53,100,153,1.69,7.4,0.21,0.19,0.01,0.01,1.12,0.25,1.33,0.91,0.73,0.42,7.4,1.12,1.33,7.4
53,101,154,0.03,0.33,0.03,0.04,0.15,0.01,0.47,0.09,1.06,0.86,0.73,0.53,0.33,0.47,1.06,1.06
53,102,155,3.53,2.94,0.26,0.29,0.01,0.01,1.26,0.21,3.2,0.83,0.89,0.64,3.53,1.26,3.2,3.53
53,103,156,0.87,0.03,0.06,0.06,0.01,0.01,0.42,0.06,0.16,0.01,0.95,0.58,0.87,0.42,0.95,0.95
53,104,157,9.59,0.01,1.08,0.92,0.01,0.01,1.54,0.35,1.5,0.01,0.3,0.13,9.59,1.54,1.5,9.59
53,105,158,0.02,0.01,0.11,0.04,0.01,0.01,0.24,0.03,0.09,0.01,1.38,0.67,0.11,0.24,1.38,1.38
53,106,159,0.12,0.01,0.99,0.4,0.01,0.01,0.88,0.34,0.08,0.01,3.1,1.8,0.99,0.88,3.1,3.1
53,107,160,0.01,0.01,0.08,0.03,0.01,0.01,0.27,0.02,0.01,0.01,2.84,1.45,0.08,0.27,2.84,2.84
53,108,161,0.01,0.01,1,0.42,0.01,0.01,0.4,0.31,0.04,0.01,2.2,1.61,1,0.4,2.2,2.2
53,110,163,0.01,0.01,9.03,0.64,0.01,0.01,0.01,0.36,0.02,0.01,1.05,0.83,9.03,0.36,1.05,9.03
53,112,165,0.001,0.001,0.001,0.47,0.001,0.001,0.001,0.19,0.02,0.01,0.24,0.39,0.47,0.19,0.39,0.47
54,86,140,0.02,0.02,0.03,0.01,0.14,0.08,0.16,0.01,0.001,0.001,0.001,0.001,0.03,0.16,0.001,0.16
54,87,141,0.01,0.01,0.01,0.01,0.19,0.09,0.17,0.01,0.001,0.001,0.001,0.001,0.01,0.19,0.001,0.19
54,88,142,0.19,0.06,0.26,0.03,0.26,0.02,0.39,0.02,0.001,0.001,0.001,0.001,0.26,0.39,0.001,0.39
54,89,143,0.02,0.01,0.02,0.01,0.14,0.04,0.14,0.02,0.001,0.001,0.001,0.001,0.02,0.14,0.001,0.14
54,90,144,0.45,0.74,0.18,0.05,0.07,0.06,0.11,0.01,0.001,0.001,0.001,0.001,0.74,0.11,0.001,0.74
54,91,145,0.1,0.02,0.06,0.02,0.19,0.3,0.07,0.02,0.001,0.001,0.001,0.001,0.1,0.3,0.001,0.3
54,92,146,1.34,0.94,0.32,0.15,0.19,0.17,0.24,0.07,0.001,0.001,0.001,0.001,1.34,0.24,0.001,1.34
54,93,147,0.08,0.01,0.12,0.06,0.75,0.88,0.06,0.03,0.36,0.95,0.13,0.09,0.12,0.88,0.95,0.95
54,94,148,1.71,1.1,0.66,0.38,0.12,0.06,0.23,0.09,0.3,1.93,0.26,0.19,1.71,0.23,1.93,1.93
54,95,149,0.02,0.01,0.09,0.07,0.39,0.51,0.07,0.04,0.28,0.68,0.15,0.1,0.09,0.51,0.68,0.68
54,96,150,1.02,1.64,0.74,0.47,0.22,0.02,0.25,0.13,0.6,2.8,0.3,0.22,1.64,0.25,2.8,2.8
54,97,151,0.01,0.01,0.08,0.08,0.51,0.29,0.02,0.02,0.54,1.27,0.2,0.18,0.08,0.51,1.27,1.27
54,98,152,0.54,1.26,0.79,0.6,0.11,0.01,0.13,0.09,0.81,2.34,0.23,0.18,1.26,0.13,2.34,2.34
54,99,153,0.01,0.01,0.05,0.05,0.29,0.1,0.04,0.02,0.5,0.86,0.13,0.12,0.05,0.29,0.86,0.86
54,100,154,1.5,1.75,1.16,1.09,0.03,0.01,0.29,0.09,0.72,3.68,0.32,0.26,1.75,0.29,3.68,3.68
54,101,155,0.01,0.02,0.14,0.13,0.23,0.11,0.27,0.05,0.85,0.71,0.16,0.13,0.14,0.27,0.85,0.85
54,102,156,4.5,25.18,1.45,1.21,0.01,0.01,0.92,0.13,1.27,1.73,0.36,0.28,25.18,0.92,1.73,25.18
54,103,157,0.02,0.05,0.2,0.09,0.19,0.01,0.27,0.02,0.75,0.01,0.21,0.17,0.2,0.27,0.75,0.75
54,104,158,17.28,1.36,2.38,0.93,0.01,0.01,0.84,0.13,3.26,0.2,1.03,0.37,17.28,0.84,3.26,17.28
54,106,160,4.19,0.01,2.34,0.92,0.01,0.01,0.97,0.21,1.13,0.13,1.77,0.43,4.19,0.97,1.77,4.19
54,107,161,0.01,0.01,0.16,0.04,0.01,0.01,0.32,0.02,0.07,0.01,1.05,0.3,0.16,0.32,1.05,1.05
54,108,162,0.19,0.01,1.37,0.66,0.01,0.01,0.38,0.21,0.34,0.01,3.04,1.1,1.37,0.38,3.04,3.04
54,110,164,0.01,0.01,1.13,0.77,0.01,0.01,0.13,0.18,0.03,0.01,0.85,0.48,1.13,0.18,0.85,1.13
54,112,166,0.01,0.01,4.11,1.83,0.01,0.01,0.01,0.27,0.02,0.01,0.58,0.55,4.11,0.27,0.58,4.11
55,84,139,0.01,0.01,0.01,0.01,0.14,0.04,0.02,0.01,0.001,0.001,0.001,0.001,0.01,0.14,0.001,0.14
55,85,140,0.01,0.01,0.01,0.01,0.21,0.13,0.12,0.01,0.001,0.001,0.001,0.001,0.01,0.21,0.001,0.21
55,87,142,0.01,0.01,0.01,0.01,0.31,0.05,0.12,0.02,0.001,0.001,0.001,0.001,0.01,0.31,0.001,0.31
55,88,143,0.02,0.01,0.01,0.01,0.09,0.05,0.12,0.01,0.001,0.001,0.001,0.001,0.02,0.12,0.001,0.12
55,89,144,0.06,0.05,0.04,0.01,0.48,0.52,0.25,0.04,0.001,0.001,0.001,0.001,0.06,0.52,0.001,0.52
55,90,145,0.04,0.1,0.03,0.01,0.27,0.19,0.19,0.03,0.001,0.001,0.001,0.001,0.1,0.27,0.001,0.27
55,91,146,0.18,0.05,0.07,0.03,0.95,0.59,0.37,0.08,0.001,0.001,0.001,0.001,0.18,0.95,0.001,0.95
55,92,147,0.12,0.17,0.09,0.04,0.59,0.17,0.36,0.11,0.001,0.001,0.001,0.001,0.17,0.59,0.001,0.59
55,93,148,0.17,0.09,0.06,0.04,1.17,0.71,0.49,0.1,0.001,0.001,0.001,0.001,0.17,1.17,0.001,1.17
55,94,149,0.24,0.36,0.07,0.04,0.91,0.2,0.77,0.28,1.16,1.33,0.21,0.14,0.36,0.91,1.33,1.33
55,95,150,0.11,0.04,0.06,0.03,0.85,0.62,0.86,0.21,1.12,0.95,0.23,0.17,0.11,0.86,1.12,1.12
55,96,151,0.46,1.16,0.19,0.12,0.45,0.05,1.14,0.46,0.79,2.01,0.37,0.27,1.16,1.14,2.01,2.01
55,97,152,0.24,0.09,0.16,0.11,0.51,0.21,0.7,0.25,0.67,0.94,0.37,0.4,0.24,0.7,0.94,0.94
55,98,153,0.65,2.17,0.19,0.14,0.14,0.01,1.19,0.5,0.56,2.77,0.56,0.41,2.17,1.19,2.77,2.77
55,99,154,0.06,0.13,0.02,0.02,0.32,0.13,0.41,0.09,0.38,0.85,0.53,0.39,0.13,0.41,0.85,0.85
55,100,155,1.96,1.29,0.11,0.1,0.05,0.01,1.1,0.46,0.52,1.62,0.48,0.38,1.96,1.1,1.62,1.96
55,101,156,0.03,0.04,0.09,0.08,0.32,0.08,0.9,0.29,0.41,1.05,0.48,0.45,0.09,0.9,1.05,1.05
55,102,157,4.95,6.09,0.23,0.24,0.01,0.01,1.49,0.51,0.99,0.75,0.85,0.62,6.09,1.49,0.99,6.09
55,103,158,0.06,0.5,0.09,0.1,0.21,0.02,0.96,0.24,0.64,0.18,0.76,0.59,0.5,0.96,0.76,0.96
55,104,159,3.05,11.33,0.42,0.4,0.01,0.01,1.8,0.42,1.62,1.25,0.97,0.84,11.33,1.8,1.62,11.33
55,105,160,0.04,0.03,0.08,0.09,0.1,0.01,0.83,0.16,0.98,0.1,0.85,0.55,0.09,0.83,0.98,0.98
55,106,161,5.22,0.4,0.29,0.28,0.01,0.01,1.83,0.3,2.53,0.51,1.11,0.51,5.22,1.83,2.53,5.22
55,107,162,0.08,0.01,0.07,0.09,0.04,0.01,1.01,0.14,1.05,0.18,0.96,0.43,0.09,1.01,1.05,1.05
55,108,163,5.23,0.01,0.24,0.26,0.01,0.01,1.88,0.3,1.22,0.01,1.44,0.47,5.23,1.88,1.44,5.23
55,109,164,0.19,0.01,0.02,0.03,0.01,0.01,0.25,0.02,0.12,0.01,1.25,0.4,0.19,0.25,1.25,1.25
55,110,165,1.03,0.01,0.26,0.27,0.01,0.01,1.62,0.27,0.14,0.01,1.98,0.7,1.03,1.62,1.98,1.98
55,111,166,0.01,0.01,0.06,0.04,0.01,0.01,0.36,0.03,0.02,0.01,1.54,0.63,0.06,0.36,1.54,1.54
55,112,167,0.01,0.01,0.52,0.36,0.01,0.01,1.29,0.31,0.11,0.01,4.02,0.85,0.52,1.29,4.02,4.02
55,113,168,0.01,0.01,0.13,0.05,0.01,0.01,0.42,0.05,0.02,0.01,3.06,2.72,0.13,0.42,3.06,3.06
55,114,169,0.01,0.01,0.64,0.22,0.01,0.01,0.47,0.26,0.01,0.01,2.69,2.86,0.64,0.47,2.86,2.86
55,115,170,0.01,0.01,0.19,0.04,0.01,0.01,0.15,0.05,0.02,0.01,2.06,2.26,0.19,0.15,2.26,2.26
55,116,171,0.01,0.01,9.44,0.21,0.01,0.01,0.01,0.27,0.02,0.01,1.93,2.18,9.44,0.27,2.18,9.44
55,118,173,0.001,0.001,0.001,0.66,0.001,0.001,0.001,0.35,0.02,0.01,0.94,1.21,0.66,0.35,1.21,1.21
55,120,175,0.001,0.001,0.001,0.27,0.001,0.001,0.001,0.25,0.01,0.01,0.38,0.74,0.27,0.25,0.74,0.74
56,89,145,0.07,0.07,0.02,0.01,0.37,0.3,0.15,0.01,0.001,0.001,0.001,0.001,0.07,0.37,0.001,0.37
56,90,146,0.15,0.15,0.06,0.02,0.33,0.25,0.07,0.01,0.001,0.001,0.001,0.001,0.15,0.33,0.001,0.33
56,91,147,0.14,0.08,0.04,0.01,0.58,0.44,0.25,0.04,0.001,0.001,0.001,0.001,0.14,0.58,0.001,0.58
56,92,148,0.39,0.37,0.15,0.08,0.46,0.11,0.12,0.03,0.001,0.001,0.001,0.001,0.39,0.46,0.001,0.46
56,93,149,0.14,0.09,0.06,0.05,0.19,0.22,0.07,0.04,0.15,0.87,0.12,0.11,0.14,0.22,0.87,0.87
56,94,150,0.64,0.85,0.27,0.19,0.52,0.18,0.2,0.06,0.49,1.22,0.21,0.15,0.85,0.52,1.22,1.22
56,95,151,0.13,0.05,0.09,0.06,0.2,0.39,0.08,0.04,0.28,0.89,0.12,0.11,0.13,0.39,0.89,0.89
56,96,152,0.58,0.8,0.32,0.24,0.27,0.37,0.23,0.1,0.47,1.58,0.28,0.2,0.8,0.37,1.58,1.58
56,97,153,0.2,0.07,0.05,0.04,0.21,0.71,0.01,0.01,0.52,1.47,0.16,0.13,0.2,0.71,1.47,1.47
56,98,154,1.66,1.03,0.46,0.35,0.18,0.14,0.15,0.09,0.33,1.61,0.23,0.16,1.66,0.18,1.61,1.66
56,99,155,0.08,0.02,0.06,0.05,0.34,0.33,0.05,0.03,0.23,0.82,0.12,0.1,0.08,0.34,0.82,0.82
56,100,156,2.77,1.77,1.12,0.93,0.41,0.03,0.17,0.11,0.78,2.23,0.36,0.25,2.77,0.41,2.23,2.77
56,101,157,0.05,0.01,0.2,0.19,0.57,0.21,0.12,0.07,0.63,0.89,0.19,0.14,0.2,0.57,0.89,0.89
56,102,158,3.61,5.3,1.63,1.29,0.09,0.01,0.3,0.17,0.86,2.58,0.38,0.21,5.3,0.3,2.58,5.3
56,103,159,0.01,0.03,0.19,0.18,0.39,0.1,0.05,0.03,0.68,1.23,0.24,0.15,0.19,0.39,1.23,1.23
56,104,160,3.1,9.77,1.32,1.1,0.01,0.01,0.19,0.09,0.8,3.32,0.38,0.22,9.77,0.19,3.32,9.77
56,105,161,0.01,0.05,0.08,0.07,0.43,0.08,0.02,0.01,0.57,0.06,0.3,0.17,0.08,0.43,0.57,0.57
56,106,162,2.47,4.24,1.07,0.72,0.01,0.01,0.13,0.05,1.53,1.04,0.38,0.22,4.24,0.13,1.53,4.24
56,107,163,0.01,0.01,0.06,0.04,0.48,0.01,0.05,0.01,0.99,1.31,0.23,0.12,0.06,0.48,1.31,1.31
56,108,164,4.69,0.41,1.13,0.61,0.01,0.01,0.19,0.04,2.25,0.21,0.57,0.22,4.69,0.19,2.25,4.69
56,110,166,7.64,0.01,1.3,0.54,0.01,0.01,0.28,0.04,1.39,0.01,1.21,0.35,7.64,0.28,1.39,7.64
56,112,168,2.44,0.01,2.11,0.58,0.01,0.01,0.85,0.06,0.18,0.01,1.49,0.37,2.44,0.85,1.49,2.44
56,113,169,0.01,0.01,0.28,0.04,0.01,0.01,0.33,0.01,0.04,0.01,0.87,0.26,0.28,0.33,0.87,0.87
56,114,170,0.03,0.01,3.16,1.54,0.01,0.01,0.2,0.13,0.32,0.01,1.25,0.62,3.16,0.2,1.25,3.16
56,116,172,0.01,0.01,4.58,1.36,0.01,0.01,0.01,0.2,0.02,0.01,0.98,0.59,4.58,0.2,0.98,4.58
56,122,178,0.001,0.001,0.001,0.21,0.001,0.001,0.001,0.1,0.02,0.01,0.13,0.21,0.21,0.1,0.21,0.21
57,88,145,0.01,0.01,0.01,0.01,0.18,0.13,0.03,0.01,0.001,0.001,0.001,0.001,0.01,0.18,0.001,0.18
57,89,146,0.05,0.04,0.02,0.01,0.47,0.32,0.03,0.02,0.001,0.001,0.001,0.001,0.05,0.47,0.001,0.47
57,90,147,0.02,0.01,0.01,0.01,0.43,0.27,0.13,0.02,0.001,0.001,0.001,0.001,0.02,0.43,0.001,0.43
57,91,148,0.07,0.07,0.03,0.02,0.52,0.42,0.19,0.1,0.001,0.001,0.001,0.001,0.07,0.52,0.001,0.52
57,92,149,0.05,0.04,0.02,0.01,0.46,0.29,0.18,0.1,0.001,0.001,0.001,0.001,0.05,0.46,0.001,0.46
57,93,150,0.26,0.18,0.14,0.07,0.69,0.64,0.34,0.13,0.24,0.79,0.22,0.15,0.26,0.69,0.79,0.79
57,94,151,0.08,0.1,0.03,0.01,0.44,0.27,0.23,0.1,0.3,1.18,0.26,0.18,0.1,0.44,1.18,1.18
57,95,152,0.07,0.05,0.08,0.06,0.62,0.58,0.47,0.19,0.29,1.04,0.42,0.35,0.08,0.62,1.04,1.04
57,96,153,0.06,0.29,0.07,0.06,0.57,0.13,0.42,0.19,0.97,1.6,0.35,0.25,0.29,0.57,1.6,1.6
57,97,154,0.07,0.21,0.13,0.12,0.97,0.64,0.55,0.23,0.77,1.14,0.29,0.23,0.21,0.97,1.14,1.14
57,98,155,0.14,0.44,0.15,0.14,1.18,0.18,0.8,0.38,1.61,1.91,0.31,0.21,0.44,1.18,1.91,1.91
57,99,156,0.1,0.07,0.07,0.08,1.64,0.62,0.69,0.2,1.45,1.44,0.27,0.14,0.1,1.64,1.45,1.64
57,100,157,0.92,0.96,0.17,0.16,0.37,0.05,0.99,0.48,0.71,1.22,0.48,0.31,0.96,0.99,1.22,1.22
57,101,158,0.39,0.03,0.12,0.08,0.72,0.23,1.09,0.42,0.62,0.78,0.43,0.25,0.39,1.09,0.78,1.09
57,102,159,4.27,5.04,0.18,0.14,0.05,0.01,1.32,0.66,0.82,1.7,0.47,0.26,5.04,1.32,1.7,5.04
57,103,160,0.03,0.04,0.12,0.08,0.36,0.04,0.96,0.39,0.53,0.8,0.47,0.28,0.12,0.96,0.8,0.96
57,104,161,3.18,3.07,0.18,0.15,0.03,0.01,1.2,0.59,0.58,1.41,0.52,0.31,3.18,1.2,1.41,3.18
57,105,162,0.01,0.08,0.1,0.09,0.25,0.03,0.65,0.24,0.64,0.94,0.56,0.41,0.1,0.65,0.94,0.94
57,106,163,1.92,3.67,0.14,0.12,0.01,0.01,0.97,0.39,0.79,1.91,0.57,0.39,3.67,0.97,1.91,3.67
57,107,164,0.02,0.12,0.11,0.09,0.3,0.02,0.77,0.23,0.42,0.2,0.51,0.37,0.12,0.77,0.51,0.77
57,108,165,2.59,3.47,0.17,0.16,0.01,0.01,0.92,0.26,1.06,0.43,0.64,0.4,3.47,0.92,1.06,3.47
57,109,166,0.1,0.06,0.06,0.05,0.01,0.01,0.45,0.08,0.99,0.02,0.62,0.39,0.1,0.45,0.99,0.99
57,110,167,2.79,0.2,0.5,0.38,0.01,0.01,1.62,0.28,3.23,0.24,0.98,0.46,2.79,1.62,3.23,3.23
57,111,168,0.14,0.01,0.06,0.06,0.01,0.01,0.56,0.08,0.24,0.01,0.29,0.14,0.14,0.56,0.29,0.56
57,112,169,6.79,0.01,0.42,0.34,0.01,0.01,2.03,0.3,1.72,0.01,1.03,0.33,6.79,2.03,1.72,6.79
57,113,170,0.42,0.01,0.08,0.08,0.01,0.01,0.78,0.08,0.37,0.01,1.19,0.38,0.42,0.78,1.19,1.19
57,114,171,3.91,0.01,0.52,0.46,0.01,0.01,2.11,0.33,0.54,0.01,2.29,0.53,3.91,2.11,2.29,3.91
57,115,172,0.03,0.01,0.04,0.03,0.01,0.01,0.57,0.04,0.02,0.01,2.23,0.43,0.04,0.57,2.23,2.23
57,116,173,0.45,0.01,0.31,0.24,0.01,0.01,1.55,0.34,0.44,0.01,1.32,0.34,0.45,1.55,1.32,1.55
57,117,174,0.01,0.01,0.12,0.03,0.01,0.01,0.58,0.09,0.25,0.01,1.12,0.29,0.12,0.58,1.12,1.12
57,118,175,0.01,0.01,0.42,0.2,0.01,0.01,0.6,0.45,0.51,0.01,1.89,0.53,0.42,0.6,1.89,1.89
57,119,176,0.01,0.01,0.3,0.04,0.01,0.01,0.14,0.19,0.03,0.01,1.51,0.46,0.3,0.19,1.51,1.51
57,120,177,0.01,0.01,7.56,0.1,0.01,0.01,0.01,0.32,0.02,0.01,1.67,0.56,7.56,0.32,1.67,7.56
57,122,179,0.001,0.001,0.001,0.04,0.001,0.001,0.001,0.15,0.02,0.01,0.41,0.17,0.04,0.15,0.41,0.41
57,124,181,0.001,0.001,0.001,0.1,0.001,0.001,0.001,0.11,0.02,0.01,0.55,0.53,0.1,0.11,0.55,0.55
58,87,145,0.01,0.01,0.01,0.01,0.21,0.09,0.01,0.01,0.001,0.001,0.001,0.001,0.01,0.21,0.001,0.21
58,88,146,0.01,0.01,0.01,0.01,0.18,0.16,0.01,0.01,0.001,0.001,0.001,0.001,0.01,0.18,0.001,0.18
58,89,147,0.01,0.01,0.01,0.01,0.2,0.07,0.01,0.01,0.001,0.001,0.001,0.001,0.01,0.2,0.001,0.2
58,90,148,0.01,0.01,0.01,0.01,0.11,0.08,0.01,0.01,0.001,0.001,0.001,0.001,0.01,0.11,0.001,0.11
